"","ZipCode","City","Metro","CountyName"
"173",90277,"Redondo Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"174",92780,"Tustin","Los Angeles-Long Beach-Anaheim","Orange County"
"175",94611,"Oakland","San Francisco-Oakland-Hayward","Alameda County"
"176",92407,"San Bernardino","Riverside-San Bernardino-Ontario","San Bernardino County"
"177",92404,"San Bernardino","Riverside-San Bernardino-Ontario","San Bernardino County"
"178",91762,"Ontario","Riverside-San Bernardino-Ontario","San Bernardino County"
"179",95628,"Fair Oaks","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"180",95060,"Santa Cruz","Santa Cruz-Watsonville","Santa Cruz County"
"181",94550,"Livermore","San Francisco-Oakland-Hayward","Alameda County"
"182",91405,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"183",92078,"San Marcos","San Diego-Carlsbad","San Diego County"
"184",95610,"Citrus Heights","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"185",92324,"Colton","Riverside-San Bernardino-Ontario","San Bernardino County"
"186",90813,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"187",91761,"Ontario","Riverside-San Bernardino-Ontario","San Bernardino County"
"188",90803,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"189",90503,"Torrance","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"190",94577,"San Leandro","San Francisco-Oakland-Hayward","Alameda County"
"191",92026,"Escondido","San Diego-Carlsbad","San Diego County"
"192",91601,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"193",95206,"Stockton","Stockton-Lodi","San Joaquin County"
"194",94118,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"195",94546,"Castro Valley","San Francisco-Oakland-Hayward","Alameda County"
"196",91702,"Azusa","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"197",95678,"Roseville","Sacramento--Roseville--Arden-Arcade","Placer County"
"198",92692,"Mission Viejo","Los Angeles-Long Beach-Anaheim","Orange County"
"199",94403,"San Mateo","San Francisco-Oakland-Hayward","San Mateo County"
"200",95621,"Citrus Heights","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"201",92114,"San Diego","San Diego-Carlsbad","San Diego County"
"202",90005,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"203",90047,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"204",91770,"Rosemead","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"205",91343,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"206",90247,"Gardena","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"207",90003,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"208",93906,"Salinas","Salinas","Monterey County"
"209",90630,"Cypress","Los Angeles-Long Beach-Anaheim","Orange County"
"210",93446,"Paso Robles","San Luis Obispo-Paso Robles-Arroyo Grande","San Luis Obispo County"
"211",90016,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"212",91942,"La Mesa","San Diego-Carlsbad","San Diego County"
"213",90018,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"214",90043,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"215",92028,"Fallbrook","San Diego-Carlsbad","San Diego County"
"216",92129,"San Diego","San Diego-Carlsbad","San Diego County"
"217",95822,"Sacramento","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"218",90037,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"219",94103,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"220",91304,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"221",94590,"Vallejo","Vallejo-Fairfield","Solano County"
"222",94114,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"223",93551,"Palmdale","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"224",92211,"Palm Desert","Riverside-San Bernardino-Ontario","Riverside County"
"225",92870,"Placentia","Los Angeles-Long Beach-Anaheim","Orange County"
"226",90022,"East Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"227",95124,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"228",90045,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"229",94539,"Fremont","San Francisco-Oakland-Hayward","Alameda County"
"230",94107,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"231",95336,"Manteca","Stockton-Lodi","San Joaquin County"
"232",92530,"Lake Elsinore","Riverside-San Bernardino-Ontario","Riverside County"
"233",92111,"San Diego","San Diego-Carlsbad","San Diego County"
"234",94010,"Burlingame","San Francisco-Oakland-Hayward","San Mateo County"
"235",91950,"National City","San Diego-Carlsbad","San Diego County"
"236",93033,"Oxnard","Oxnard-Thousand Oaks-Ventura","Ventura County"
"237",92027,"Escondido","San Diego-Carlsbad","San Diego County"
"238",92392,"Victorville","Riverside-San Bernardino-Ontario","San Bernardino County"
"239",94566,"Pleasanton","San Francisco-Oakland-Hayward","Alameda County"
"240",91344,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"241",95762,"El Dorado Hills","Sacramento--Roseville--Arden-Arcade","El Dorado County"
"242",90278,"Redondo Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"243",92691,"Mission Viejo","Los Angeles-Long Beach-Anaheim","Orange County"
"244",93311,"Bakersfield","Bakersfield","Kern County"
"245",94928,"Rohnert Park","Santa Rosa","Sonoma County"
"246",92886,"Yorba Linda","Los Angeles-Long Beach-Anaheim","Orange County"
"247",92116,"San Diego","San Diego-Carlsbad","San Diego County"
"248",94605,"Oakland","San Francisco-Oakland-Hayward","Alameda County"
"249",92545,"Hemet","Riverside-San Bernardino-Ontario","Riverside County"
"250",92504,"Riverside","Riverside-San Bernardino-Ontario","Riverside County"
"251",93010,"Camarillo","Oxnard-Thousand Oaks-Ventura","Ventura County"
"252",95037,"Morgan Hill","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"253",90703,"Cerritos","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"254",90057,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"255",94066,"San Bruno","San Francisco-Oakland-Hayward","San Mateo County"
"256",92009,"Carlsbad","San Diego-Carlsbad","San Diego County"
"257",95376,"Tracy","Stockton-Lodi","San Joaquin County"
"258",92672,"San Clemente","Los Angeles-Long Beach-Anaheim","Orange County"
"259",91745,"Hacienda Heights","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"260",94601,"Oakland","San Francisco-Oakland-Hayward","Alameda County"
"261",92054,"Oceanside","San Diego-Carlsbad","San Diego County"
"262",94610,"Oakland","San Francisco-Oakland-Hayward","Alameda County"
"263",93117,"Goleta","Santa Maria-Santa Barbara","Santa Barbara County"
"264",94025,"Menlo Park","San Francisco-Oakland-Hayward","San Mateo County"
"265",92688,"Rancho Santa Margarita","Los Angeles-Long Beach-Anaheim","Orange County"
"266",90660,"Pico Rivera","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"267",95023,"Hollister","San Jose-Sunnyvale-Santa Clara","San Benito County"
"268",92833,"Fullerton","Los Angeles-Long Beach-Anaheim","Orange County"
"269",92064,"Poway","San Diego-Carlsbad","San Diego County"
"270",92127,"San Diego","San Diego-Carlsbad","San Diego County"
"271",95825,"Arden-Arcade","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"272",91765,"Diamond Bar","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"273",92544,"Hemet","Riverside-San Bernardino-Ontario","Riverside County"
"274",93711,"Fresno","Fresno","Fresno County"
"275",94521,"Concord","San Francisco-Oakland-Hayward","Contra Costa County"
"276",92660,"Newport Beach","Los Angeles-Long Beach-Anaheim","Orange County"
"277",92040,"Lakeside","San Diego-Carlsbad","San Diego County"
"278",90275,"Rancho Palos Verdes","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"279",95240,"Lodi","Stockton-Lodi","San Joaquin County"
"280",91605,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"281",95136,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"282",93304,"Bakersfield","Bakersfield","Kern County"
"283",90745,"Carson","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"284",95826,"Rosemont","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"285",91764,"Ontario","Riverside-San Bernardino-Ontario","San Bernardino County"
"286",95403,"Santa Rosa","Santa Rosa","Sonoma County"
"287",93611,"Clovis","Fresno","Fresno County"
"288",95821,"Arden-Arcade","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"289",92584,"Menifee","Riverside-San Bernardino-Ontario","Riverside County"
"290",90804,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"291",95667,"Placerville","Sacramento--Roseville--Arden-Arcade","El Dorado County"
"292",95127,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"293",91016,"Monrovia","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"294",95476,"Sonoma","Santa Rosa","Sonoma County"
"295",95111,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"296",95062,"Santa Cruz","Santa Cruz-Watsonville","Santa Cruz County"
"297",95126,"San Jose","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"298",94901,"San Rafael","San Francisco-Oakland-Hayward","Marin County"
"299",94606,"Oakland","San Francisco-Oakland-Hayward","Alameda County"
"300",91913,"Chula Vista","San Diego-Carlsbad","San Diego County"
"301",90815,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"302",92506,"Riverside","Riverside-San Bernardino-Ontario","Riverside County"
"303",93455,"Santa Maria","Santa Maria-Santa Barbara","Santa Barbara County"
"304",95926,"Chico","Chico","Butte County"
"305",94040,"Mountain View","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"306",94608,"Oakland","San Francisco-Oakland-Hayward","Alameda County"
"307",92025,"Escondido","San Diego-Carlsbad","San Diego County"
"308",93534,"Lancaster","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"309",92395,"Victorville","Riverside-San Bernardino-Ontario","San Bernardino County"
"310",92069,"San Marcos","San Diego-Carlsbad","San Diego County"
"311",91320,"Thousand Oaks","Oxnard-Thousand Oaks-Ventura","Ventura County"
"312",90029,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"313",94404,"Foster City","San Francisco-Oakland-Hayward","San Mateo County"
"314",95928,"Chico","Chico","Butte County"
"315",93313,"Bakersfield","Bakersfield","Kern County"
"316",90065,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"317",91606,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"318",92557,"Moreno Valley","Riverside-San Bernardino-Ontario","Riverside County"
"319",90291,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"320",91423,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"321",90501,"Torrance","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"322",95404,"Santa Rosa","Santa Rosa","Sonoma County"
"323",92243,"El Centro","El Centro","Imperial County"
"324",94116,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"325",94804,"Richmond","San Francisco-Oakland-Hayward","Contra Costa County"
"326",93619,"Clovis","Fresno","Fresno County"
"327",94560,"Newark","San Francisco-Oakland-Hayward","Alameda County"
"328",95050,"Santa Clara","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"329",92084,"Vista","San Diego-Carlsbad","San Diego County"
"330",90723,"Paramount","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"331",90292,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"332",91732,"El Monte","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"333",90069,"West Hollywood","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"334",90262,"Lynwood","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"335",94551,"Livermore","San Francisco-Oakland-Hayward","Alameda County"
"336",92308,"Apple Valley","Riverside-San Bernardino-Ontario","San Bernardino County"
"337",94582,"San Ramon","San Francisco-Oakland-Hayward","Contra Costa County"
"338",95757,"Elk Grove","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"339",95973,"Chico","Chico","Butte County"
"340",90241,"Downey","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"341",92019,"El Cajon","San Diego-Carlsbad","San Diego County"
"342",92307,"Apple Valley","Riverside-San Bernardino-Ontario","San Bernardino County"
"343",90405,"Santa Monica","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"344",90740,"Seal Beach","Los Angeles-Long Beach-Anaheim","Orange County"
"345",94578,"San Leandro","San Francisco-Oakland-Hayward","Alameda County"
"346",93030,"Oxnard","Oxnard-Thousand Oaks-Ventura","Ventura County"
"347",94044,"Pacifica","San Francisco-Oakland-Hayward","San Mateo County"
"348",90638,"La Mirada","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"349",90008,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"350",91401,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"351",93726,"Fresno","Fresno","Fresno County"
"352",92262,"Palm Springs","Riverside-San Bernardino-Ontario","Riverside County"
"353",92821,"Brea","Los Angeles-Long Beach-Anaheim","Orange County"
"354",92840,"Garden Grove","Los Angeles-Long Beach-Anaheim","Orange County"
"355",93940,"Monterey","Salinas","Monterey County"
"356",94123,"San Francisco","San Francisco-Oakland-Hayward","San Francisco County"
"357",94523,"Pleasant Hill","San Francisco-Oakland-Hayward","Contra Costa County"
"358",90266,"Manhattan Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"359",95691,"West Sacramento","Sacramento--Roseville--Arden-Arcade","Yolo County"
"360",92505,"Riverside","Riverside-San Bernardino-Ontario","Riverside County"
"361",91360,"Thousand Oaks","Oxnard-Thousand Oaks-Ventura","Ventura County"
"362",91205,"Glendale","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"363",91767,"Pomona","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"364",92705,"North Tustin","Los Angeles-Long Beach-Anaheim","Orange County"
"365",91604,"Los Angeles","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"366",92649,"Huntington Beach","Los Angeles-Long Beach-Anaheim","Orange County"
"367",92373,"Redlands","Riverside-San Bernardino-Ontario","San Bernardino County"
"368",94303,"Palo Alto","San Jose-Sunnyvale-Santa Clara","Santa Clara County"
"369",95991,"Yuba City","Yuba City","Sutter County"
"370",90505,"Torrance","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"371",95843,"Sacramento","Sacramento--Roseville--Arden-Arcade","Sacramento County"
"372",90808,"Long Beach","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"373",90403,"Santa Monica","Los Angeles-Long Beach-Anaheim","Los Angeles County"
"374",92058,"Oceanside","San Diego-Carlsbad","San Diego County"
