year,state,county_raw,total_homeless_count,shared_obs
2010,CA,Richmond/Contra Costa County CoC,2759,1
2010,CA,"Salinas/Monterey, San Benito Counties CoC",2407,2
2010,CA,Marin County CoC,1026,1
2010,CA,Watsonville/Santa Cruz ,2265,1
2010,CA,Mendocino County CoC,1202,1
2010,CA,Turlock/Modesto/Stanislaus County CoC,1800,1
2010,CA,Stockton/San Joaquin County CoC,3005,1
2010,CA,Daly/San Mateo County CoC,1424,1
2010,CA,"Visalia, Kings, Tulare Counties CoC",966,2
2010,CA,Fresno/Madera County CoC,4288,1
2010,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",1054,2
2010,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",336,7
2010,CA,Napa ,314,1
2010,CA,Vallejo/Solano County CoC,829,1
2010,CA,Chico/Paradise/Butte County CoC,742,1
2010,CA,Merced ,372,1
2010,CA,Davis/Woodland/Yolo County CoC,491,1
2010,CA,Humboldt County CoC,1355,1
2010,CA,"Colusa, Glenn, Trinity Counties CoC",197,3
2010,CA,Yuba ,512,1
2010,CA,El Dorado County CoC,146,1
2010,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",289,4
2010,CA,Del Norte County CoC,18,1
2010,CA,Los Angeles ,33243,1
2010,CA,San Diego ,8383,1
2010,CA,Santa Ana/Anaheim/Orange County CoC,8333,1
2010,CA,Santa Maria/Santa Barbara County CoC,4121,1
2010,CA,Bakersfield/Kern County CoC,1499,1
2010,CA,Long Beach CoC,3909,0
2010,CA,Pasadena CoC,1137,0
2010,CA,Riverside ,3126,1
2010,CA,San Bernardino ,2026,1
2010,CA,Oxnard/San Buenaventura/Ventura County CoC,1815,1
2010,CA,Glendale CoC,428,0
2010,CA,Imperial County CoC,505,1
2010,CA,San Luis Obispo County CoC,3829,1
2011,CA,San Jose/Santa Clara ,7067,1
2011,CA,San Francisco CoC,5669,1
2011,CA,Oakland/Alameda County CoC,4178,1
2011,CA,Sacramento ,2376,1
2011,CA,Santa Rosa/Petaluma/Sonoma County CoC,4541,1
2011,CA,Richmond/Contra Costa County CoC,2415,1
2011,CA,"Salinas/Monterey, San Benito Counties CoC",2699,2
2011,CA,Marin County CoC,862,1
2011,CA,Watsonville/Santa Cruz ,2771,1
2011,CA,Mendocino County CoC,1456,1
2011,CA,Turlock/Modesto/Stanislaus County CoC,1434,1
2011,CA,Stockton/San Joaquin County CoC,2540,1
2011,CA,Daly/San Mateo County CoC,1926,1
2011,CA,"Visalia, Kings, Tulare Counties CoC",804,2
2011,CA,Fresno/Madera County CoC,5135,1
2011,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",821,2
2011,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",527,7
2011,CA,Napa ,230,1
2011,CA,Vallejo/Solano County CoC,569,1
2011,CA,Chico/Paradise/Butte County CoC,897,1
2011,CA,Merced ,486,1
2011,CA,Davis/Woodland/Yolo County CoC,468,1
2011,CA,Humboldt County CoC,861,1
2011,CA,"Colusa, Glenn, Trinity Counties CoC",322,3
2011,CA,Yuba ,649,1
2011,CA,El Dorado County CoC,170,1
2011,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",406,4
2011,CA,Del Norte County CoC,448,1
2011,CA,Los Angeles ,34622,1
2011,CA,San Diego ,9436,1
2011,CA,Santa Ana/Anaheim/Orange County CoC,6939,1
2011,CA,Santa Maria/Santa Barbara County CoC,1698,1
2011,CA,Bakersfield/Kern County CoC,1439,1
2011,CA,Long Beach CoC,3164,0
2011,CA,Pasadena CoC,1216,0
2011,CA,Riverside ,6203,1
2011,CA,San Bernardino ,2825,1
2011,CA,Oxnard/San Buenaventura/Ventura County CoC,1810,1
2011,CA,Glendale CoC,412,0
2011,CA,Imperial County CoC,508,1
2011,CA,San Luis Obispo County CoC,2129,1
2012,CA,San Jose/Santa Clara ,7053,1
2012,CA,San Francisco CoC,5895,1
2012,CA,Oakland/Alameda County CoC,4257,1
2012,CA,Sacramento ,2812,1
2012,CA,Santa Rosa/Petaluma/Sonoma County CoC,4483,1
2012,CA,Richmond/Contra Costa County CoC,2386,1
2012,CA,"Salinas/Monterey, San Benito Counties CoC",2673,2
2012,CA,Marin County CoC,725,1
2012,CA,Watsonville/Santa Cruz ,2735,1
2012,CA,Mendocino County CoC,1441,1
2012,CA,Turlock/Modesto/Stanislaus County CoC,1470,1
2012,CA,Stockton/San Joaquin County CoC,1569,1
2012,CA,Daly/San Mateo County CoC,1845,1
2012,CA,"Visalia, Kings, Tulare Counties CoC",771,2
2012,CA,Fresno/Madera County CoC,4492,1
2012,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",742,2
2012,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",524,7
2012,CA,Napa ,248,1
2012,CA,Vallejo/Solano County CoC,622,1
2012,CA,Chico/Paradise/Butte County CoC,897,1
2012,CA,Merced ,502,1
2012,CA,Davis/Woodland/Yolo County CoC,513,1
2012,CA,Humboldt County CoC,846,1
2012,CA,"Colusa, Glenn, Trinity Counties CoC",303,3
2012,CA,Yuba ,492,1
2012,CA,El Dorado County CoC,217,1
2012,CA,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",379,4
2012,CA,Del Norte County CoC,437,1
2012,CA,Los Angeles ,31553,1
2012,CA,San Diego ,10013,1
2012,CA,Santa Ana/Anaheim/Orange County CoC,7010,1
2012,CA,Santa Maria/Santa Barbara County CoC,1546,1
2012,CA,Bakersfield/Kern County CoC,1352,1
2012,CA,Long Beach CoC,3170,0
2012,CA,Pasadena CoC,904,0
2012,CA,Riverside ,6096,1
2012,CA,San Bernardino ,2532,1
2012,CA,Oxnard/San Buenaventura/Ventura County CoC,1926,1
2012,CA,Glendale CoC,299,0
2012,CA,Imperial County CoC,239,1
2012,CA,San Luis Obispo County CoC,2129,1
2013,CA,San Jose/Santa Clara ,7631,1
2013,CA,San Francisco CoC,7008,1
2013,CA,Oakland/Alameda County CoC,4264,1
2013,CA,Sacramento ,2538,1
2013,CA,Santa Rosa/Petaluma/Sonoma County CoC,4280,1
