year,county,homeless_count
2010,plumas,48
2010,modoc,48
2010,sierra,48
2010,shasta,48
2010,del norte,48
2012,siskiyou,75
2012,lassen,75
2012,plumas,75
2012,modoc,75
2012,sierra,75
2012,shasta,75
2012,del norte,75
2015,siskiyou,84
2015,lassen,84
2015,plumas,84
2015,modoc,84
2015,sierra,84
2015,shasta,84
2015,del norte,84
2009,siskiyou,49
2009,lassen,49
2009,plumas,49
2009,modoc,49
2009,sierra,49
2009,shasta,49
2009,del norte,49
2007,siskiyou,42
2007,lassen,42
2007,plumas,42
2007,modoc,42
2007,sierra,42
2007,shasta,42
2007,del norte,42
2013,siskiyou,122
2013,lassen,122
2013,plumas,122
2013,modoc,122
2013,sierra,122
2013,shasta,122
2013,del norte,122
2010,contra costa,2759
2014,contra costa,2009
2009,contra costa,2759
2015,contra costa,2031
2008,contra costa,4062
2011,contra costa,2415
2007,contra costa,4062
2013,contra costa,2000
2016,contra costa,1730
2017,contra costa,1607
2012,contra costa,2386
2013,riverside,2978
2009,riverside,3366
2015,riverside,2372
2007,riverside,4508
2008,riverside,4508
2016,riverside,2165
2012,riverside,6096
2014,riverside,2945
2017,riverside,2406
2011,riverside,6203
2010,riverside,3126
2014,placer,381
2014,nevada,381
2017,placer,490
2017,nevada,490
2010,placer,527
2010,nevada,527
2008,placer,294
2008,nevada,294
2015,placer,398
2015,nevada,398
2007,placer,294
2007,nevada,294
2011,placer,410
2011,nevada,410
2016,placer,510
2016,nevada,510
2012,placer,371
2012,nevada,371
2009,placer,527
2009,nevada,527
2013,placer,454
2013,nevada,454
2014,sacramento,2449
2013,sacramento,2538
2012,sacramento,2812
2010,sacramento,2734
2008,sacramento,2615
2015,sacramento,2659
2017,sacramento,3665
2016,sacramento,2500
2009,sacramento,2800
2007,sacramento,2452
2011,sacramento,2376
2010,san benito,1204
2010,monterey,1204
2009,san benito,1204
2009,monterey,1204
2014,san benito,1481
2014,monterey,1481
2008,san benito,701
2008,monterey,701
2017,san benito,1682
2017,monterey,1682
2007,san benito,701
2007,monterey,701
2015,san benito,1480
2015,monterey,1480
2012,san benito,1336
2012,monterey,1336
2011,san benito,1350
2011,monterey,1350
2013,san benito,1478
2013,monterey,1478
2016,san benito,1511
2016,monterey,1511
2017,san bernardino,1866
2014,san bernardino,2315
2013,san bernardino,2321
2011,san bernardino,2825
2015,san bernardino,2149
2009,san bernardino,2026
2016,san bernardino,1887
2012,san bernardino,2532
2008,san bernardino,6969
2007,san bernardino,6969
2010,san bernardino,2026
2013,san diego,8879
2008,san diego,8455
2010,san diego,8383
2009,san diego,7995
2014,san diego,8506
2012,san diego,10013
2015,san diego,8742
2011,san diego,9436
2016,san diego,8669
2017,san diego,9160
2007,san diego,7326
2007,san francisco,5703
2010,san francisco,5823
2009,san francisco,5823
2012,san francisco,5895
2016,san francisco,6996
2013,san francisco,7008
2014,san francisco,6408
2015,san francisco,6775
2011,san francisco,5669
2008,san francisco,5171
2017,san francisco,6858
2007,santa clara,7202
2010,santa clara,7086
2011,santa clara,7067
2017,santa clara,7394
2015,santa clara,6556
2012,santa clara,7053
2016,santa clara,6524
2014,santa clara,7567
2009,santa clara,7086
2013,santa clara,7631
2008,santa clara,7202
2009,san luis obispo,3829
2016,san luis obispo,1368
2007,san luis obispo,2408
2008,san luis obispo,850
2014,san luis obispo,2366
2013,san luis obispo,2357
2010,san luis obispo,3829
2011,san luis obispo,2129
2015,san luis obispo,1515
2012,san luis obispo,2129
2017,san luis obispo,1125
2012,orange,7010
2016,orange,4319
2017,orange,4792
2008,orange,3649
2013,orange,4251
2011,orange,6939
2015,orange,4452
2007,orange,3649
2014,orange,3833
2009,orange,8333
2010,orange,8333
2017,santa barbara,1860
2016,santa barbara,1813
2007,santa barbara,4253
2015,santa barbara,1729
2013,santa barbara,1882
2009,santa barbara,4121
2010,santa barbara,4121
2014,santa barbara,1832
2008,santa barbara,4253
2011,santa barbara,1698
2012,santa barbara,1546
2017,sonoma,2835
2009,sonoma,3247
2010,sonoma,3345
2008,sonoma,1314
2007,sonoma,1314
2012,sonoma,4483
2016,sonoma,2906
2014,sonoma,4266
2013,sonoma,4280
2015,sonoma,3097
2011,sonoma,4541
2014,san joaquin,1588
2007,san joaquin,2479
2013,san joaquin,1541
2010,san joaquin,3005
2009,san joaquin,3005
2011,san joaquin,2540
2008,san joaquin,2354
2012,san joaquin,1569
2016,san joaquin,1780
2017,san joaquin,1542
2015,san joaquin,1708
2016,tehama,133
2017,tehama,124
2015,tehama,138
2007,stanislaus,1593
2012,stanislaus,1470
2008,stanislaus,1593
2013,stanislaus,1201
2015,stanislaus,1408
2009,stanislaus,1800
2014,stanislaus,1156
2010,stanislaus,1800
2016,stanislaus,1434
2011,stanislaus,1434
2017,stanislaus,1661
2015,solano,1082
2016,solano,1118
2009,solano,829
2012,solano,622
2010,solano,829
2017,solano,1232
2013,solano,1329
2008,solano,1956
2007,solano,1956
2011,solano,569
2014,solano,1295
2014,tulare,382
2014,kings,382
2009,tulare,483
2009,kings,483
2015,tulare,431
2015,kings,431
2008,tulare,520
2008,kings,520
2010,tulare,483
2010,kings,483
2013,tulare,352
2013,kings,352
2016,tulare,396
2016,kings,396
2007,tulare,553
2007,kings,553
2011,tulare,402
2011,kings,402
2012,tulare,386
2012,kings,386
2017,tulare,426
2017,kings,426
