county_raw,year,state,total_homeless_count,shared_obs,homeless_count_calc,county
"Colusa, Glenn, Trinity Counties CoC",2017,CA,176,3,59,colusa
"Colusa, Glenn, Trinity Counties CoC",2017,CA,176,3,59,trinity
"Colusa, Glenn, Trinity Counties CoC",2012,CA,303,3,101,glenn
"Colusa, Glenn, Trinity Counties CoC",2012,CA,303,3,101,colusa
"Colusa, Glenn, Trinity Counties CoC",2012,CA,303,3,101,trinity
"Colusa, Glenn, Trinity Counties CoC",2008,CA,193,3,64,glenn
"Colusa, Glenn, Trinity Counties CoC",2008,CA,193,3,64,colusa
"Colusa, Glenn, Trinity Counties CoC",2008,CA,193,3,64,trinity
"Colusa, Glenn, Trinity Counties CoC",2014,CA,567,3,189,glenn
"Colusa, Glenn, Trinity Counties CoC",2014,CA,567,3,189,colusa
"Colusa, Glenn, Trinity Counties CoC",2014,CA,567,3,189,trinity
"Colusa, Glenn, Trinity Counties CoC",2016,CA,115,3,38,glenn
"Colusa, Glenn, Trinity Counties CoC",2016,CA,115,3,38,colusa
"Colusa, Glenn, Trinity Counties CoC",2016,CA,115,3,38,trinity
"Colusa, Glenn, Trinity Counties CoC",2013,CA,696,3,232,glenn
"Colusa, Glenn, Trinity Counties CoC",2013,CA,696,3,232,colusa
"Colusa, Glenn, Trinity Counties CoC",2013,CA,696,3,232,trinity
"Colusa, Glenn, Trinity Counties CoC",2009,CA,197,3,66,glenn
"Colusa, Glenn, Trinity Counties CoC",2009,CA,197,3,66,colusa
"Colusa, Glenn, Trinity Counties CoC",2009,CA,197,3,66,trinity
"Colusa, Glenn, Trinity Counties CoC",2015,CA,136,3,45,glenn
"Colusa, Glenn, Trinity Counties CoC",2015,CA,136,3,45,colusa
"Colusa, Glenn, Trinity Counties CoC",2015,CA,136,3,45,trinity
Daly/San Mateo County CoC,2013,CA,1995,1,1995,san mateo
Daly/San Mateo County CoC,2007,CA,1798,1,1798,san mateo
Daly/San Mateo County CoC,2008,CA,1798,1,1798,san mateo
Daly/San Mateo County CoC,2014,CA,2024,1,2024,san mateo
Daly/San Mateo County CoC,2012,CA,1845,1,1845,san mateo
Daly/San Mateo County CoC,2017,CA,1253,1,1253,san mateo
Daly/San Mateo County CoC,2016,CA,1361,1,1361,san mateo
Daly/San Mateo County CoC,2015,CA,1483,1,1483,san mateo
Daly/San Mateo County CoC,2011,CA,1926,1,1926,san mateo
Daly/San Mateo County CoC,2009,CA,1567,1,1567,san mateo
Daly/San Mateo County CoC,2010,CA,1424,1,1424,san mateo
Davis/Woodland/Yolo County CoC,2010,CA,491,1,491,yolo
Davis/Woodland/Yolo County CoC,2009,CA,491,1,491,yolo
