name,class,fault_id,county,length_km,time,slip_rate
"newport-inglewood-rose canyon fault zone, dana point section",A,127c,orange,49,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"newport-inglewood-rose canyon fault zone, del mar section",A,127e,san diego,25,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"newport-inglewood-rose canyon fault zone, north los angeles basin section",A,127a,los angeles,28,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"newport-inglewood-rose canyon fault zone, oceanside section",A,127d,san diego,37,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"newport-inglewood-rose canyon fault zone, san diego section",A,127f,san diego,20,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"newport-inglewood-rose canyon fault zone, silver strand section",A,127g,san diego,23,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"newport-inglewood-rose canyon fault zone, south los angeles basin section",A,127b,los angeles,34,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
nopah fault,A,527,inyo,20,late Quaternary (<130 ka),Unspecified
northern centinela fault zone,A,504,imperial,4,latest Quaternary (<15 ka),Unspecified
"northern death valley fault zone, kit fox hills section",A,141c,inyo,33,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"northern death valley fault zone, mesquite flat-screwbean spring section",A,141b,inyo,30,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
north fork road thrust fault zone,A,151,humboldt,32,undifferentiated Quaternary (<1.6 Ma),Unspecified
"north frontal thrust system, eastern section",A,109b,san bernardino,31,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"north frontal thrust system, western section",A,109a,san bernardino,39,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
northridge blind thrust,A,135,los angeles,41,undifferentiated Quaternary (<1.6 Ma),Between 1.0 and 5.0 mm/yr
northridge hills fault,A,274,los angeles,14,late Quaternary (<130 ka),Unspecified
north tahoe fault,B,1649,placer,25,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
nunez fault,A,289,fresno,6,undifferentiated Quaternary (<1.6 Ma),Unspecified
oak ridge fault,A,94,ventura,98,late Quaternary (<130 ka),Unspecified
"oak ridge fault, mid-channel structure",A,138,ventura,41,undifferentiated Quaternary (<1.6 Ma),Between 1.0 and 5.0 mm/yr
oak ridge fault (offshore),A,136,ventura,NA,undifferentiated Quaternary (<1.6 Ma),Greater than 5.0 mm/yr
oceanic fault zone,A,352,san diego,NA,late Quaternary (<130 ka),Unspecified
oceanside fault,A,187,san diego,143,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
ocotillo fault zone,A,503,imperial,9,latest Quaternary (<15 ka),Unspecified
old dale fault,A,394,san bernardino,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
old woman springs fault,A,117,san bernardino,15,latest Quaternary (<15 ka),Unspecified
o'neill fault system,A,372,merced,55,late Quaternary (<130 ka),Unspecified
ortega hill fault,A,529,santa barbara,1,late Quaternary (<130 ka),Unspecified
"ortigalita fault zone, cottonwood arm section",A,52a,merced,31,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"ortigalita fault zone, little panoche valley section",A,52d,san benito,13,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"ortigalita fault zone, los banos valley section",A,52b,merced,35,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"ortigalita fault zone, piedra azul section",A,52c,fresno,23,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
overland avenue fault,A,278,los angeles,9,late Quaternary (<130 ka),Unspecified
owens river gorge fault zone,A,438,mono,17,late Quaternary (<130 ka),Unspecified
"owens valley fault zone, 1872 rupture section",A,51b,inyo,118,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"owens valley fault zone, keough hot springs section",A,51a,inyo,21,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
owl lake fault,A,70,san bernardino,25,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
ozena fault zone,A,256,santa barbara,51,undifferentiated Quaternary (<1.6 Ma),Unspecified
"palos verdes fault zone, palos verdes hills section",A,128b,los angeles,12,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
"palos verdes fault zone, san pedro shelf section",A,128c,los angeles,29,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"palos verdes fault zone, santa monica basin section",A,128a,los angeles,32,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"panamint valley fault zone, brown mountain section",A,67d,san bernardino,17,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"panamint valley fault zone, northern panamint valley section",A,67a,inyo,27,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"panamint valley fault zone, southern panamint valley section",A,67c,san bernardino,54,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
panoche hills fault,A,530,san benito,13,undifferentiated Quaternary (<1.6 Ma),Unspecified
peavine gulch fault,A,800,shasta,26,undifferentiated Quaternary (<1.6 Ma),Insufficient data
pelican hill fault,A,137,orange,13,late Quaternary (<130 ka),Unspecified
pelona fault,A,409,ventura,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
peralta hills fault,A,299,orange,10,late Quaternary (<130 ka),Unspecified
peralta hills structure,A,363,orange,17,undifferentiated Quaternary (<1.6 Ma),Unspecified
petrified forest thrust fault,A,531,sonoma,21,undifferentiated Quaternary (<1.6 Ma),Unspecified
pilarcitos fault,A,235,san mateo,53,undifferentiated Quaternary (<1.6 Ma),Unspecified
pine mountain fault,A,261,ventura,60,late Quaternary (<130 ka),Unspecified
pine mountain fault zone,A,532,los angeles,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
pine rock fault zone,A,287,san benito,47,late Quaternary (<130 ka),Unspecified
pinole fault,A,378,contra costa,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
pinto mountain fault zone (includes morongo valley fault),A,118,riverside,82,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
pinto wash fault zone,A,501,imperial,4,latest Quaternary (<15 ka),Unspecified
pipes canyon fault,A,320,san bernardino,28,undifferentiated Quaternary (<1.6 Ma),Unspecified
"pisgah-bullion fault zone, bullion section",A,122b,san bernardino,19,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"pisgah-bullion fault zone, east bullion section",A,122c,san bernardino,54,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"pisgah-bullion fault zone, pisgah section",A,122a,san bernardino,32,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"pisgah-bullion fault zone, west bullion",A,122d,san bernardino,40,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
pitas point fault,A,180,los angeles,43,latest Quaternary (<15 ka),Unspecified
pittville fault,A,7,modoc,36,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
pleasanton fault,A,238,alameda,25,latest Quaternary (<15 ka),Unspecified
"pleito fault zone, eastern pleito section",A,76b,kern,16,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"pleito fault zone, western pleito section",A,76a,kern,24,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
point loma fault zone,A,302,san diego,16,late Quaternary (<130 ka),Unspecified
point reyes fault,A,61,marin,100,undifferentiated Quaternary (<1.6 Ma),Unspecified
polaris fault,A,497,nevada,38,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
pond fault,A,382,kern,4,undifferentiated Quaternary (<1.6 Ma),Unspecified
poso creek fault,A,381,kern,79,undifferentiated Quaternary (<1.6 Ma),Unspecified
premier fault,A,407,kern,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
"puente hills blind thrust system, coyote hills section",A,185c,los angeles,25,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"puente hills blind thrust system, los angeles section",A,185a,los angeles,23,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"puente hills blind thrust system, santa fe springs section",A,185b,los angeles,15,historic,Between 0.2 and 1.0 mm/yr
pulgas fault,A,458,santa clara,16,undifferentiated Quaternary (<1.6 Ma),Unspecified
purismia structure,A,484,santa barbara,41,undifferentiated Quaternary (<1.6 Ma),Unspecified
queen lily fault,A,211,plumas,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
quien sabe fault,A,64,san benito,24,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
raymond fault,A,103,los angeles,25,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
red hill-etiwanda avenue fault,A,332,san bernardino,15,latest Quaternary (<15 ka),Unspecified
red mountain fault zone,A,90,ventura,73,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
redondo canyon fault,A,130,los angeles,12,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
red pass fault,A,360,san bernardino,19,latest Quaternary (<15 ka),Unspecified
"reliz fault zone, blanco section",A,286a,monterey,23,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"reliz fault zone, sierra de salinas section",A,286b,monterey,55,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
resort fault zone,A,168,lake,42,undifferentiated Quaternary (<1.6 Ma),Unspecified
"rinconada fault zone, espinosa section",A,63a,monterey,57,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"rinconada fault zone, rinconada section",A,63c,monterey,87,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"rinconada fault zone, san marcos section",A,63b,monterey,25,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
rio vista fault,A,246,solano,53,late Quaternary (<130 ka),Unspecified
robinson creek fault zone,A,40,mono,19,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
rocky ledge fault zone,A,10,shasta,17,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
rodgers creek fault,A,32,sonoma,56,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
rodman fault,A,342,san bernardino,19,undifferentiated Quaternary (<1.6 Ma),Unspecified
round valley fault,A,45,inyo,36,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
route 247 fault,A,502,imperial,6,latest Quaternary (<15 ka),Unspecified
russ fault zone,A,150,humboldt,112,late Quaternary (<130 ka),Unspecified
saddle blanket flat fault zone,A,172,modoc,57,late Quaternary (<130 ka),Unspecified
sagehen peak fault,A,440,mono,29,undifferentiated Quaternary (<1.6 Ma),Unspecified
salton creek fault,A,315,riverside,39,undifferentiated Quaternary (<1.6 Ma),Unspecified
"san andreas fault zone, cholame-carrizo section",A,1g,monterey,201,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, coachella section",A,1j,imperial,70,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, creeping section",A,1e,monterey,130,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, mojave section",A,1h,san bernardino,112,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, north coast section",A,1b,marin,244,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, parkfield section",A,1f,san luis obispo,32,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, peninsula section",A,1c,santa clara,87,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, san bernardino mountains section",A,1i,san bernardino,128,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, santa cruz mountains section",A,1d,san benito,75,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san andreas fault zone, shelter cove section",A,1a,humboldt,138,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
san antonio fault,A,328,san bernardino,25,late Quaternary (<130 ka),Unspecified
san benito fault zone,A,288,san benito,34,undifferentiated Quaternary (<1.6 Ma),Unspecified
san cayetano fault,A,95,ventura,56,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
san clemente fault zone,A,283,los angeles,248,latest Quaternary (<15 ka),Unspecified
san clemente thrust,A,471,monterey,8,undifferentiated Quaternary (<1.6 Ma),Unspecified
san diego trough fault zone,A,292,san diego,166,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
san felipe fault zone,A,496,imperial,170,late Quaternary (<130 ka),Unspecified
"san gabriel fault zone, big tujunga section",A,89e,los angeles,NA,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"san gabriel fault zone, honor rancho section",A,89b,los angeles,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"san gabriel fault zone, newhall section",A,89c,los angeles,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"san gabriel fault zone, palomas section",A,89a,ventura,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"san gabriel fault zone, san gabriel river section",A,89d,los angeles,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
san gorgonio mountain fault,A,338,san bernardino,14,late Quaternary (<130 ka),Unspecified
san gorgonio pass fault zone,A,250,riverside,54,latest Quaternary (<15 ka),Unspecified
"san gregorio fault zone, san gregorio section",A,60a,santa cruz,131,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san gregorio fault zone, sur region section",A,60b,monterey,121,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"san jacinto fault, anza section",A,125c,san diego,85,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san jacinto fault, borrego mountain section",A,125e,imperial,34,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"san jacinto fault, coyote creek section",A,125d,san diego,44,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"san jacinto fault, san bernardino valley section",A,125a,riverside,51,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san jacinto fault, san jacinto valley section",A,125b,riverside,59,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"san jacinto fault, superstition hills section",A,125f,imperial,38,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"san jacinto fault, superstition mountain section",A,125g,imperial,23,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
san joaquin fault,A,403,stanislaus,138,late Quaternary (<130 ka),Unspecified
san joaquin hills thrust,A,186,orange,33,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
san jose fault,A,107,los angeles,22,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
san jose fault,A,245,santa clara,70,undifferentiated Quaternary (<1.6 Ma),Unspecified
san jose fault zone,A,263,santa barbara,4,late Quaternary (<130 ka),Unspecified
san juan fault zone,A,77,san luis obispo,95,latest Quaternary (<15 ka),Unspecified
san luis range fault system (south margin),A,82,san luis obispo,109,late Quaternary (<130 ka),Unspecified
"san mateo-san onofre-carlsbad fault zone, carlsbad section",A,294c,san diego,NA,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
"san mateo-san onofre-carlsbad fault zone, san onofre-oceanside section",A,294b,san diego,NA,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
"san mateo-san onofre-carlsbad fault zone, san onofre-oceanside section",A,294a,san diego,NA,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
san pedro basin fault zone,A,282,los angeles,83,late Quaternary (<130 ka),Unspecified
san pedro fault,A,432,santa barbara,7,late Quaternary (<130 ka),Unspecified
san simeon fault,A,80,san luis obispo,97,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
santa ana fault zone,A,339,san bernardino,49,undifferentiated Quaternary (<1.6 Ma),Unspecified
"santa cruz-catalina ridge fault zone, catalina escarpment section",A,284b,los angeles,NA,middle and late Quaternary (<750 ka),Between 0.2 and 1.0 mm/yr
"santa cruz-catalina ridge fault zone, pilgrim banks section",A,284a,ventura,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
santa cruz island fault,A,93,ventura,83,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
santa felicia fault,A,281,los angeles,5,late Quaternary (<130 ka),Unspecified
santa lucia bank fault zone,A,479,san luis obispo,233,undifferentiated Quaternary (<1.6 Ma),Unspecified
santa maria fault,A,463,santa barbara,15,undifferentiated Quaternary (<1.6 Ma),Unspecified
santa monica fault,A,101,los angeles,35,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
santa rosa island fault,A,92,ventura,NA,late Quaternary (<130 ka),Unspecified
"santa ynez fault zone, eastern section",A,87d,ventura,94,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
"santa ynez fault zone, pacifico section",A,87a,santa barbara,22,late Quaternary (<130 ka),Less than 0.2 mm/yr
"santa ynez fault zone, south branch section",A,87c,santa barbara,14,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"santa ynez fault zone, western section",A,87b,santa barbara,39,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
santa ynez river fault zone,A,253,santa barbara,89,late Quaternary (<130 ka),Unspecified
san ysidro fault zone,A,308,san diego,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
"sargent fault zone, northwestern section",A,58a,santa clara,29,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"sargent fault zone, southeastern section",A,58b,santa clara,27,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
serra fault zone,A,461,san mateo,20,latest Quaternary (<15 ka),Unspecified
sheephole fault,A,419,riverside,NA,late Quaternary (<130 ka),Unspecified
sheephole fault,A,390,san bernardino,18,undifferentiated Quaternary (<1.6 Ma),Unspecified
sherburne hills thrust fault,A,400,contra costa,9,undifferentiated Quaternary (<1.6 Ma),Unspecified
"sierra madre fault zone, clamshell-sawpit section",A,105e,los angeles,17,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"sierra madre fault zone, cucamonga section",A,105h,san bernardino,22,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"sierra madre fault zone, san fernando section",A,105b,los angeles,23,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"sierra madre fault zone, santa susana section",A,105a,ventura,35,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"sierra madre fault zone, sierra madre b section",A,105c,los angeles,16,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"sierra madre fault zone, sierra madre c section",A,105d,los angeles,23,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
"sierra madre fault zone, sierra madre d section",A,105f,los angeles,16,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"sierra madre fault zone, sierra madre e section",A,105g,san bernardino,15,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
silver creek fault zone,A,237,santa clara,62,undifferentiated Quaternary (<1.6 Ma),Unspecified
silver lake fault,A,42,mono,33,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
silver reef fault,A,340,san bernardino,11,latest Quaternary (<15 ka),Unspecified
"simi-santa rosa fault zone, camarillo-santa rosa valley section",A,98b,ventura,17,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"simi-santa rosa fault zone, simi-santa rosa section",A,98c,los angeles,38,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"simi-santa rosa fault zone, springville section",A,98a,ventura,9,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
sisar fault zone,A,361,ventura,22,late Quaternary (<130 ka),Unspecified
skeleton canyon fault zone,A,421,riverside,16,latest Quaternary (<15 ka),Unspecified
skinner flat fault,A,192,plumas,16,late Quaternary (<130 ka),Unspecified
slinkard valley fault,A,474,mono,25,late Quaternary (<130 ka),Unspecified
"smith valley fault zone, unnamed southern section",A,1291c,mono,36,latest Quaternary (<15 ka),Less than 0.2 mm/yr
smoketree wash fault,A,395,riverside,22,late Quaternary (<130 ka),Unspecified
soda creek fault,A,227,napa,24,late Quaternary (<130 ka),Unspecified
soda mountain fault,A,366,san bernardino,15,undifferentiated Quaternary (<1.6 Ma),Unspecified
soledad fault,A,410,los angeles,17,undifferentiated Quaternary (<1.6 Ma),Unspecified
southampton fault,A,481,contra costa,37,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
south bristol mountains fault,A,348,san bernardino,34,undifferentiated Quaternary (<1.6 Ma),Unspecified
south cuyama fault zone,A,252,santa barbara,101,undifferentiated Quaternary (<1.6 Ma),Unspecified
"southern death valley fault zone, confidence hills section",A,143a,inyo,18,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"southern death valley fault zone, nobel hills section",A,143b,inyo,34,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
southern inyo mountains fault,A,533,inyo,20,undifferentiated Quaternary (<1.6 Ma),Unspecified
"southern sierra nevada fault zone, haiwee reservoir section",A,65b,inyo,131,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"southern sierra nevada fault zone, independence section",A,65a,inyo,71,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
spring fault,A,534,kern,6,undifferentiated Quaternary (<1.6 Ma),Unspecified
stanford fault,A,244,santa clara,45,undifferentiated Quaternary (<1.6 Ma),Unspecified
stateline fault,A,485,san bernardino,31,undifferentiated Quaternary (<1.6 Ma),Unspecified
stoddard canyon fault,A,329,san bernardino,18,undifferentiated Quaternary (<1.6 Ma),Unspecified
stoney creek fault,A,171,glenn,8,late Quaternary (<130 ka),Unspecified
surprise valley fault,A,4,lassen,86,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
surpur creek fault,A,148,humboldt,43,undifferentiated Quaternary (<1.6 Ma),Unspecified
sycamore canyon fault,A,272,ventura,32,undifferentiated Quaternary (<1.6 Ma),Unspecified
table bluff fault zone,A,16,humboldt,47,late Quaternary (<130 ka),Unspecified
tahoe-sierra frontal fault zone,A,215,el dorado,50,undifferentiated Quaternary (<1.6 Ma),Unspecified
tahoe valley fault zone,A,249,el dorado,13,undifferentiated Quaternary (<1.6 Ma),Unspecified
tank canyon fault,A,71,san bernardino,17,latest Quaternary (<15 ka),Unspecified
texas springs syncline,A,181,inyo,NA,latest Quaternary (<15 ka),Less than 0.2 mm/yr
texas street fault,A,304,san diego,8,undifferentiated Quaternary (<1.6 Ma),Unspecified
thing valley fault,A,535,san diego,3,undifferentiated Quaternary (<1.6 Ma),Unspecified
thirty mile bank fault,A,291,san diego,19,undifferentiated Quaternary (<1.6 Ma),Unspecified
thums-huntington beach,A,260,orange,39,late Quaternary (<130 ka),Unspecified
tiefort mountains fault zone,A,362,san bernardino,46,undifferentiated Quaternary (<1.6 Ma),Unspecified
tin mountain fault,A,188,inyo,37,late Quaternary (<130 ka),Less than 0.2 mm/yr
tolay fault,A,33,sonoma,34,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
towne pass fault,A,97,inyo,58,latest Quaternary (<15 ka),Less than 0.2 mm/yr
tres pinos fault,A,406,san benito,19,undifferentiated Quaternary (<1.6 Ma),Unspecified
tunnel ridge fault,A,327,san bernardino,18,undifferentiated Quaternary (<1.6 Ma),Unspecified
twentynine palms mountain fault,A,392,san bernardino,10,undifferentiated Quaternary (<1.6 Ma),Unspecified
tyler horse fault,A,386,kern,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed creep-active fault,A,536,imperial,2,historic,Unspecified
unnamed fault east of donovan reservoir,A,198,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed fault east of kelly reservoir,A,199,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed fault in the little san bernardino mountains,A,213,riverside,NA,latest Quaternary (<15 ka),Unspecified
unnamed fault near fontana,A,515,san bernardino,9,late Quaternary (<130 ka),Unspecified
unnamed fault near kelley hot spring,A,200,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed fault on nw side tungsten hills,A,487,inyo,16,latest Quaternary (<15 ka),Unspecified
unnamed faults,B,538,siskiyou,NA,latest Quaternary (<15 ka),Unspecified
unnamed faults beneath mount shasta,B,816,siskiyou,26,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults east of eagle lake,A,193,lassen,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults east of lake berryessa,A,815,napa,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults east of river spring,A,488,mono,5,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults east side madeline plains,A,486,lassen,41,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults in big valley area,A,178,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults in coso range,A,848,inyo,63,late Quaternary (<130 ka),Unspecified
unnamed faults in hambone-dana area,A,207,siskiyou,NA,late Quaternary (<130 ka),Unspecified
unnamed faults in northern saline valley,A,825,inyo,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults in resting spring range,A,849,inyo,48,late Quaternary (<130 ka),Unspecified
unnamed faults in southwestern excelsior mountains,A,1301,mono,25,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
unnamed faults in susanville-eagle lake area,A,179,lassen,NA,late Quaternary (<130 ka),Unspecified
unnamed faults in sutter buttes,A,859,sutter,5,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults in volcanic tablelands,A,46,inyo,40,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
unnamed faults near alkali valley,A,1299,mono,36,late Quaternary (<130 ka),Less than 0.2 mm/yr
unnamed faults near moorpark,A,860,ventura,23,late Quaternary (<130 ka),Unspecified
unnamed faults near quackenbush mountain,A,861,lake,11,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults near teels marsh,A,1303,mono,39,latest Quaternary (<15 ka),Less than 0.2 mm/yr
unnamed faults near telegraph ridge,A,163,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults north of coyote wash,A,600,imperial,13,latest Quaternary (<15 ka),Unspecified
unnamed faults north of mono lake,A,720,mono,18,latest Quaternary (<15 ka),Unspecified
unnamed faults nw of santa rosa,A,721,sonoma,16,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults of devils garden plateau,A,173,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults offshore,A,722,humboldt,20,late Quaternary (<130 ka),Unspecified
unnamed faults south and east of truckee,A,214,placer,NA,late Quaternary (<130 ka),Unspecified
unnamed faults west of dry mountain,A,499,inyo,34,late Quaternary (<130 ka),Unspecified
unnamed faults west of hat creek,A,206,shasta,49,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults west of little juniper reservoir,A,201,modoc,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed faults west of mail ridge,A,162,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed fault west of carneros creek,A,537,napa,15,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed fault zone east of bear river fault,A,161,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed fault zone near alder point,A,160,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
unnamed possible fault in north hollywood,A,212,los angeles,NA,latest Quaternary (<15 ka),Unspecified
unnamed west side faults,A,106,inyo,61,late Quaternary (<130 ka),Less than 0.2 mm/yr
upper elysian park fault,A,218,los angeles,26,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
upper long valley fault zone,A,194,lassen,51,latest Quaternary (<15 ka),Unspecified
ventura fault,A,91,ventura,13,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
