name,class,fault_id,county,length_km,time,slip_rate
channel islands western deep ramp,A,493,santa barbara,76,undifferentiated Quaternary (<1.6 Ma),Unspecified
chemehuevi graben,A,508,san bernardino,3,late Quaternary (<130 ka),Unspecified
chianti fault,A,222,sonoma,NA,late Quaternary (<130 ka),Unspecified
chico monocline fault,A,159,tehama,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"chupines fault zone, calera canyon section",A,145c,monterey,NA,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
"chupines fault zone, del rey oaks section",A,145a,monterey,36,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"chupines fault zone, laguna seca section",A,145b,monterey,18,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"cleghorn fault zone, northern cleghorn section",A,108b,san bernardino,14,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"cleghorn fault zone, southern cleghorn section",A,108a,san bernardino,24,late Quaternary (<130 ka),Between 1.0 and 5.0 mm/yr
clover valley fault zone,A,157,lake,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
collayomi fault zone,A,34,sonoma,30,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
compton thrust fault,A,133,los angeles,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"concord fault, avon section",A,38a,contra costa,9,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"concord fault, concord section",A,38b,contra costa,4,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"concord fault, ygnacio valley section",A,38c,contra costa,15,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
cordelia fault zone,A,219,solano,NA,latest Quaternary (<15 ka),Unspecified
corning fault,A,158,tehama,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
"coronado bank fault zone, coronado bank-palos verdes section",A,131a,san diego,NA,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"coronado bank fault zone, coronado bank section",A,131b,san diego,NA,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
crablouse ravine fault,A,208,plumas,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
cristianitos fault,A,509,san diego,3,undifferentiated Quaternary (<1.6 Ma),Unspecified
cross spring fault zone,A,166,lake,NA,late Quaternary (<130 ka),Unspecified
cross valley fault,A,183,inyo,5,latest Quaternary (<15 ka),Less than 0.2 mm/yr
cypress point fault,A,146,monterey,12,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
davies valley fault,A,310,imperial,7,latest Quaternary (<15 ka),Unspecified
davis creek fault zone,A,175,modoc,NA,late Quaternary (<130 ka),Unspecified
deep springs fault,A,50,inyo,23,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
dry lake fault,A,510,riverside,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
dry valley-smoke creek ranch fault zone,A,1602,lassen,48,latest Quaternary (<15 ka),Less than 0.2 mm/yr
dume fault,A,100,ventura,NA,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
dunnigan hills fault,A,234,yolo,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
east tahoe fault,A,1651,el dorado,36,undifferentiated Quaternary (<1.6 Ma),Less than 0.2 mm/yr
eaton roughs fault zone,A,17,humboldt,NA,undifferentiated Quaternary (<1.6 Ma),Unspecified
echo canyon thrust,A,182,inyo,2,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
el encanto fault,A,511,santa barbara,4,late Quaternary (<130 ka),Unspecified
"elsinore fault zone, chino section",A,126b,riverside,20,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"elsinore fault zone, coyote mountain section",A,126f,imperial,33,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"elsinore fault zone, glen ivy section",A,126c,riverside,46,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"elsinore fault zone, julian section",A,126e,san diego,79,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"elsinore fault zone, laguna salada section",A,126g,imperial,61,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"elsinore fault zone, temecula section",A,126d,san diego,62,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"elsinore fault zone, whittier section",A,126a,orange,36,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
eureka peak fault,A,120,san bernardino,22,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
extra fault zone,A,512,imperial,49,latest Quaternary (<15 ka),Unspecified
faults in west coyote hills,A,513,orange,2,late Quaternary (<130 ka),Unspecified
"fish lake valley fault zone, cucomongo section",A,49d,inyo,33,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"fish lake valley fault zone, leidy creek section",A,49a,mono,30,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
"fish lake valley fault zone, oasis section",A,49c,mono,36,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
fish slough fault zone,A,48,inyo,23,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
