year,county,city,population,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,burglary,larceny_theft,vehicle_theft,arson,sum_violent_crime,sum_property_crime,sum_index_crimes,crime_index
2016,contra costa,pleasant hill,35140,0,3,43,33,146,1179,185,4,79,1514,1589,0.045219123505976094
2016,alameda,pleasanton,81464,0,12,44,44,208,1260,136,2,100,1606,1704,0.020917214966120003
2016,los angeles,pomona,154109,13,68,295,391,853,2640,1183,33,767,4709,5443,0.03531915721988982
2016,tulare,porterville,56421,0,16,52,147,280,771,264,0,215,1315,1530,0.027117562609666614
2016,ventura,port hueneme,22570,1,6,30,28,79,264,56,2,65,401,464,0.020558263181214002
2016,san diego,poway,50606,0,8,14,43,93,329,33,2,65,457,520,0.010275461407738213
2016,sacramento,rancho cordova,72265,1,17,74,153,305,998,132,2,245,1437,1680,0.023247768629350306
2016,san bernardino,rancho cucamonga,177089,1,43,86,136,974,2563,454,11,266,4002,4257,0.02403876017143922
2016,riverside,rancho mirage,18243,0,0,3,20,174,462,65,0,23,701,724,0.03968645507866031
2016,los angeles,rancho palos verdes,42947,0,7,6,14,118,266,33,0,27,417,444,0.010338323980720423
2016,orange,rancho santa margarita,49606,0,2,10,36,45,206,16,2,48,269,315,0.006350038301818329
2016,tehama,red bluff,14138,0,20,35,104,260,719,118,8,159,1105,1256,0.08883859103126326
2016,shasta,redding,91918,5,84,143,488,710,2608,519,7,720,3844,4557,0.049576796710111184
2016,san bernardino,redlands,71485,0,37,76,112,501,2014,398,14,225,2927,3138,0.04389732111631811
2016,los angeles,redondo beach,68447,1,8,58,93,428,1154,160,1,160,1743,1902,0.027787923502856225
2016,san mateo,redwood city,87046,0,43,44,77,260,1087,156,7,164,1510,1667,0.019150793833145694
2016,fresno,reedley,25828,0,10,19,161,154,265,80,6,190,505,689,0.02667647514325538
2016,san bernardino,rialto,103893,4,22,159,266,555,603,729,2,451,1889,2338,0.02250392230467885
2016,contra costa,richmond,110868,21,72,364,562,645,1907,1233,33,1019,3818,4804,0.043330807807482774
2016,kern,ridgecrest,29003,0,24,21,104,176,317,72,8,149,573,714,0.024618142950729234
