year,county,city,population,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,burglary,larceny_theft,vehicle_theft,arson,sum_violent_crime,sum_property_crime,sum_index_crimes,crime_index
1999,placer,auburn,40591,3,12,26,83,301,1566,40,0,124,1907,2031,0.050035722204429554
1999,los angeles,glendale,198028,16,87,371,752,2234,7563,2286,66,1226,12149,13309,0.06720766760256125
1999,san bernardino,adelanto,15515,2,2,5,117,120,68,47,2,126,237,361,0.023267805349661618
1999,los angeles,agoura hills,21127,0,3,5,48,64,155,15,0,56,234,290,0.013726511099540872
1999,alameda,alameda,79848,0,12,91,146,323,2022,339,17,249,2701,2933,0.03673229135357178
1999,alameda,albany,17457,0,1,37,12,169,462,55,6,50,692,736,0.04216073781291173
1999,los angeles,alhambra,85356,4,3,165,97,372,1114,287,15,269,1788,2042,0.02392333286470781
1999,orange,anaheim,299477,16,85,468,1070,1640,5452,1373,53,1639,8518,10104,0.03373881800605723
1999,contra costa,antioch,82621,3,14,120,382,510,1085,386,35,519,2016,2500,0.03025865094830612
1999,san bernardino,apple valley,57267,2,8,60,146,531,1072,187,14,216,1804,2006,0.035028899715368364
1999,los angeles,arcadia,50892,0,8,63,67,234,944,90,10,138,1278,1406,0.027627131965731352
1999,humboldt,arcata,16401,0,4,14,21,131,629,36,12,39,808,835,0.05091152978476922
1999,san luis obispo,arroyo grande,15482,0,5,5,14,72,323,18,6,24,419,437,0.02822632734788787
1999,los angeles,artesia,16160,2,6,48,62,76,214,110,2,118,402,518,0.032054455445544555
1999,kern,arvin,11331,0,0,13,24,80,296,39,18,37,433,452,0.03989056570470391
1999,san luis obispo,atascadero,24997,0,8,5,66,135,358,33,21,79,547,605,0.024202904348521823
1999,merced,atwater,24657,3,7,24,161,444,473,101,4,195,1022,1213,0.04919495477957578
1999,placer,auburn,12567,0,3,6,39,81,273,26,4,48,384,428,0.034057452056974614
1999,kings,avenal,11875,0,1,3,52,84,66,5,0,56,155,211,0.01776842105263158
1999,los angeles,azusa,43248,1,9,69,80,228,634,201,13,159,1076,1222,0.028255641879393268
1999,kern,bakersfield,213365,24,27,357,451,2316,6870,1162,113,859,10461,11207,0.052525015817964524
1999,los angeles,baldwin park,73007,7,20,90,121,278,528,377,12,238,1195,1421,0.019463887024531893
1999,riverside,banning,27135,1,12,33,259,273,217,124,0,305,614,919,0.03386769854431546
1999,san bernardino,barstow,23503,0,11,53,110,337,618,109,5,174,1069,1238,0.05267412670722887
1999,riverside,beaumont,11073,1,6,18,132,188,198,59,0,157,445,602,0.05436647701616545
1999,los angeles,bell,35720,1,10,111,205,212,216,183,1,327,612,938,0.02625979843225084
1999,los angeles,bellflower,64541,8,24,230,239,442,1010,573,18,501,2043,2526,0.03913791233479494
1999,los angeles,bell gardens,45033,5,11,144,203,286,457,285,8,363,1036,1391,0.030888459574090112
1999,san mateo,belmont,26605,0,2,6,17,57,232,33,0,25,322,347,0.013042661153918436
1999,solano,benicia,27244,0,6,17,22,149,221,44,8,45,422,459,0.016847746292761707
1999,alameda,berkeley,109685,3,32,391,416,1197,5459,845,58,842,7559,8343,0.07606327209736974
1999,los angeles,beverly hills,32875,1,7,84,65,231,943,77,3,157,1254,1408,0.04282889733840304
1999,riverside,blythe,13765,0,1,12,105,146,372,17,16,118,551,653,0.04743915728296404
1999,imperial,brawley,23289,1,5,30,62,262,539,76,6,98,883,975,0.04186525827643952
1999,orange,brea,36087,0,7,28,63,294,943,125,3,98,1365,1460,0.04045778258098484
1999,contra costa,brentwood,17875,0,2,8,27,105,350,44,3,37,502,536,0.029986013986013985
1999,orange,buena park,74448,2,12,99,146,321,987,335,39,259,1682,1902,0.02554803352675693
1999,los angeles,burbank,98857,2,8,95,206,362,1592,548,8,311,2510,2813,0.028455243432432706
1999,san mateo,burlingame,28509,1,2,14,43,105,653,89,0,60,847,907,0.031814514714651514
1999,los angeles,calabasas,17985,0,2,7,43,65,112,19,2,52,198,248,0.013789268835140395
1999,imperial,calexico,26951,0,2,51,69,288,386,304,0,122,978,1100,0.040814812066342625
1999,ventura,camarillo,60217,3,8,18,72,230,738,59,19,101,1046,1128,0.01873225168972217
1999,santa clara,campbell,39185,3,16,20,161,108,819,87,8,200,1022,1214,0.030981242822508612
1999,riverside,canyon lake,12632,0,3,3,47,54,88,15,1,53,158,210,0.01662444585180494
1999,santa cruz,capitola,10736,0,2,11,51,46,649,8,3,64,706,767,0.0714418777943368
1999,san diego,carlsbad,75827,0,17,40,144,434,1324,228,7,201,1993,2187,0.028841969219407335
1999,santa barbara,carpinteria,14346,0,5,4,29,42,112,7,1,38,162,199,0.013871462428551513
1999,los angeles,carson,88931,9,15,174,535,598,1435,625,36,733,2694,3391,0.03813068558770283
1999,riverside,cathedral city,38189,3,22,34,91,466,589,298,1,150,1354,1503,0.039356882872031214
1999,stanislaus,ceres,32397,0,13,42,114,287,1448,220,6,169,1961,2124,0.06556162607648856
1999,los angeles,cerritos,54672,0,4,112,96,464,1343,564,3,212,2374,2583,0.04724539069359087
1999,butte,chico,47602,1,29,41,113,453,1568,189,82,184,2292,2394,0.05029200453762447
1999,san bernardino,chino,66729,0,12,78,215,404,1171,317,37,305,1929,2197,0.03292421585817261
1999,san bernardino,chino hills,45733,0,4,16,39,243,537,114,18,59,912,953,0.02083834430280104
1999,madera,chowchilla,10294,0,1,8,50,141,177,33,6,59,357,410,0.039829026617447055
1999,san diego,chula vista,162905,10,47,300,667,977,3541,1467,56,1024,6041,7009,0.0430250759645192
1999,los angeles,claremont,34252,0,9,26,38,193,635,56,1,73,885,957,0.0279399743080696
1999,lake,clearlake,12091,0,3,19,58,274,359,63,24,80,720,776,0.06417996857166487
1999,fresno,clovis,64899,0,19,36,91,443,1565,269,19,146,2296,2423,0.03733493582335629
1999,riverside,coachella,22920,0,19,24,126,250,346,181,11,169,788,946,0.04127399650959861
1999,san bernardino,colton,45329,6,16,81,90,408,969,391,12,193,1780,1961,0.04326148823049262
1999,los angeles,commerce,13251,3,5,66,88,149,595,357,15,162,1116,1263,0.09531356124066108
1999,los angeles,compton,93621,54,30,529,889,1147,1320,895,39,1502,3401,4864,0.051954155584751284
1999,contra costa,concord,119432,2,37,176,421,744,4555,631,16,636,5946,6566,0.054976890615580414
1999,kings,corcoran,17379,0,2,8,30,94,135,23,3,40,255,292,0.016801887335289718
1999,riverside,corona,114468,4,27,130,134,735,2087,521,16,295,3359,3638,0.031781808016214136
1999,san diego,coronado,26295,0,2,9,24,77,404,45,7,35,533,561,0.021334854535082715
1999,orange,costa mesa,103847,4,29,106,180,489,2420,380,17,319,3306,3608,0.03474342060916541
1999,los angeles,covina,45144,4,9,70,150,342,1141,252,8,233,1743,1968,0.043593833067517275
1999,los angeles,cudahy,23802,1,4,45,123,78,177,105,2,173,362,533,0.02239307621208302
1999,los angeles,culver city,40286,0,5,122,74,222,721,189,0,201,1132,1333,0.033088417812639624
1999,santa clara,cupertino,45756,0,13,29,34,223,696,51,5,76,975,1046,0.02286038989422152
1999,orange,cypress,48590,0,12,41,56,217,712,120,8,109,1057,1158,0.02383206421074295
1999,san mateo,daly city,100685,7,22,98,131,253,1624,393,6,258,2276,2528,0.025108010130605353
1999,orange,dana point,34958,0,2,12,37,156,474,45,7,51,682,726,0.02076777847702958
1999,contra costa,danville,40843,0,4,5,6,125,415,32,2,15,574,587,0.014372107827534706
1999,yolo,davis,55202,0,16,18,169,132,1202,109,16,203,1459,1646,0.029817760226078766
1999,kern,delano,34782,2,7,25,57,295,814,209,120,91,1438,1409,0.040509458915531024
1999,riverside,desert hot springs,15295,3,25,40,202,418,432,78,1,270,929,1198,0.07832625040863027
1999,los angeles,diamond bar,55268,0,6,47,90,183,473,132,11,143,799,931,0.01684519070709995
1999,tulare,dinuba,15130,1,6,11,93,217,451,86,3,111,757,865,0.05717118307997356
1999,solano,dixon,14701,0,4,8,34,58,225,41,3,46,327,370,0.02516835589415686
1999,los angeles,downey,95025,9,17,228,127,681,1605,978,27,381,3291,3645,0.03835832675611681
1999,los angeles,duarte,21788,1,5,21,93,95,257,64,7,120,423,536,0.024600697631723886
1999,alameda,dublin,28411,0,3,13,79,122,413,63,4,95,602,693,0.024391960860230193
1999,san mateo,east palo alto,25244,1,40,61,250,215,411,155,9,352,790,1133,0.044881952147044844
1999,san diego,el cajon,95640,3,32,123,415,578,2023,681,38,573,3320,3855,0.040307402760351316
1999,imperial,el centro,37910,1,14,66,284,839,993,201,7,365,2040,2398,0.06325507781587972
1999,contra costa,el cerrito,24396,0,4,80,64,234,743,135,6,148,1118,1260,0.051647811116576486
1999,los angeles,el monte,113289,8,30,345,605,495,1281,560,14,988,2350,3324,0.029340889230198872
1999,los angeles,el segundo,15881,0,2,25,8,105,490,121,0,35,716,751,0.047289213525596625
1999,san diego,encinitas,60821,0,8,47,127,296,731,181,4,182,1212,1390,0.022853948471744958
1999,san diego,escondido,122344,3,41,153,410,616,2597,982,31,607,4226,4802,0.03924998365265154
1999,humboldt,eureka,25975,1,18,52,77,349,1385,271,30,148,2035,2153,0.0828873917228104
1999,solano,fairfield,91170,4,25,171,276,735,2871,435,46,476,4087,4517,0.049544806405615885
1999,ventura,fillmore,13376,0,1,10,37,56,132,9,2,48,199,245,0.018316387559808613
1999,sacramento,folsom,45727,1,10,13,50,262,471,84,9,74,826,891,0.019485205677171036
1999,san bernardino,fontana,111385,9,61,216,517,845,1134,779,29,803,2787,3561,0.03197019347308883
1999,san mateo,foster city,30887,0,4,5,16,71,333,22,10,25,436,451,0.014601612328811475
1999,orange,fountain valley,57509,1,2,35,76,228,1175,180,8,114,1591,1697,0.029508424768297136
1999,alameda,fremont,207291,1,23,115,284,993,3981,569,17,423,5560,5966,0.028780796078942163
1999,fresno,fresno,403966,26,160,1268,2554,4419,15763,4643,744,4008,25569,28833,0.07137481867285861
1999,orange,fullerton,123741,4,23,116,174,623,2617,445,27,317,3712,4002,0.032341746066380586
1999,sacramento,galt,17116,0,4,6,43,102,328,69,4,53,503,552,0.03225052582379061
1999,los angeles,gardena,54428,4,16,323,262,493,1068,447,8,605,2016,2613,0.04800837804071434
1999,orange,garden grove,153480,11,26,204,468,798,2982,991,37,709,4808,5480,0.03570497784727652
1999,santa clara,gilroy,38284,0,7,55,282,225,1060,110,6,344,1401,1739,0.04542367568697106
1999,los angeles,glendale,187798,3,20,177,329,723,2995,743,44,529,4505,4990,0.026571102993642105
1999,los angeles,glendora,50541,0,5,40,61,211,683,80,13,106,987,1080,0.021368789695494748
1999,san bernardino,grand terrace,12404,0,5,9,10,62,155,39,3,24,259,280,0.022573363431151242
1999,monterey,greenfield,10187,2,4,20,39,95,158,8,0,65,261,326,0.03200157062923334
1999,san luis obispo,grover beach,12067,0,6,5,32,65,256,28,1,43,350,392,0.03248529046158946
1999,san mateo,half moon bay,10778,0,0,3,15,61,133,12,0,18,206,224,0.020783076637595103
1999,kings,hanford,37695,0,15,41,83,301,1146,203,2,139,1652,1789,0.047459875315028516
1999,los angeles,hawaiian gardens,13987,0,4,46,62,85,160,54,1,112,300,411,0.029384428397797955
1999,los angeles,hawthorne,74489,8,21,411,668,603,1269,584,12,1108,2468,3564,0.04784599068318812
1999,alameda,hayward,130760,11,64,308,488,798,3192,1134,49,871,5173,5995,0.04584735393086571
1999,sonoma,healdsburg,10105,0,2,8,18,116,208,16,8,28,348,368,0.036417615042058385
1999,riverside,hemet,53554,4,19,83,268,901,1012,292,29,374,2234,2579,0.048157000410800316
1999,contra costa,hercules,20087,0,2,12,56,77,243,63,9,70,392,453,0.022551899238313338
1999,los angeles,hermosa beach,19052,0,6,14,53,132,488,71,1,73,692,764,0.04010077682133109
1999,san bernardino,hesperia,63222,1,12,43,119,419,1000,216,13,175,1648,1810,0.028629274619594445
1999,san bernardino,highland,42648,4,17,100,104,524,705,207,15,225,1451,1661,0.03894672669292815
1999,san mateo,hillsborough,11683,0,0,1,2,16,48,5,0,3,69,72,0.006162800650517847
1999,san benito,hollister,28819,1,6,21,246,183,720,51,9,274,963,1228,0.04261077761199209
1999,orange,huntington beach,198177,5,36,111,244,1055,2922,490,29,396,4496,4863,0.024538669976838887
1999,los angeles,huntington park,59062,6,10,354,166,305,875,713,12,536,1905,2429,0.04112627408485998
1999,san diego,imperial beach,29170,3,12,46,112,161,395,133,9,173,698,862,0.029550908467603703
1999,riverside,indio,45683,6,20,92,212,505,930,487,0,330,1922,2252,0.04929623711227371
1999,los angeles,inglewood,113253,16,39,601,693,691,1412,925,52,1349,3080,4377,0.03864798283489179
1999,orange,irvine,138445,2,14,44,108,755,2150,301,20,168,3226,3374,0.024370688721152806
1999,contra costa,lafayette,27536,0,4,9,8,76,320,29,0,21,425,446,0.016196978500871585
1999,orange,laguna beach,25443,0,5,10,33,148,420,30,1,48,599,646,0.025390087646896986
1999,orange,laguna hills,32599,0,4,19,32,119,597,49,10,55,775,820,0.025154145832694253
1999,orange,la habra,55089,4,8,40,104,262,876,140,16,156,1294,1434,0.026030605020966074
1999,riverside,lake elsinore,28616,4,14,42,206,406,473,101,3,266,983,1246,0.04354207436399217
1999,orange,lake forest,81094,3,10,24,56,215,670,80,15,93,980,1058,0.013046587910326288
1999,los angeles,lakewood,77339,4,23,135,191,386,1255,561,9,353,2211,2555,0.03303637233478581
1999,san diego,la mesa,56806,1,12,80,106,316,1199,359,10,199,1884,2073,0.03649262401858958
1999,los angeles,la mirada,45161,3,10,46,143,195,552,149,5,202,901,1098,0.024313013440800692
1999,los angeles,lancaster,120254,5,41,183,887,988,1612,391,48,1116,3039,4107,0.034152710096961435
1999,orange,la palma,16706,0,1,17,31,75,204,37,0,49,316,365,0.02184843768705854
1999,los angeles,la puente,39310,4,11,69,236,152,396,159,10,320,717,1027,0.026125667769015516
1999,riverside,la quinta,20526,0,4,18,86,383,450,106,1,108,940,1047,0.05100847705349313
1999,los angeles,la verne,32824,0,5,19,53,109,462,78,5,77,654,726,0.022117962466487937
1999,los angeles,lawndale,29417,1,7,118,165,167,360,171,6,291,704,989,0.033620015637216574
1999,san diego,lemon grove,26420,0,4,51,78,183,382,160,5,133,730,858,0.03247539742619228
1999,kings,lemoore,17745,1,5,13,45,132,359,43,4,64,538,598,0.0336996336996337
1999,alameda,livermore,73343,2,13,31,78,401,1085,205,12,124,1703,1815,0.024746737930000137
1999,merced,livingston,10251,1,12,5,54,80,107,31,16,72,234,290,0.02828992293434787
1999,san joaquin,lodi,56996,0,15,67,260,385,1786,302,15,342,2488,2815,0.04938943083725174
1999,san bernardino,loma linda,22795,0,2,14,19,91,386,107,6,35,590,619,0.027155077867953497
1999,los angeles,lomita,20224,1,5,25,84,123,201,68,4,115,396,507,0.025069224683544302
1999,santa barbara,lompoc,41772,1,19,50,118,296,1158,48,23,188,1525,1690,0.040457722876568035
1999,los angeles,long beach,437218,46,119,1566,1526,3357,8179,3361,218,3257,15115,18154,0.04152162079328847
1999,orange,los alamitos,12961,0,2,13,28,54,187,25,3,43,269,309,0.023840753028315717
1999,santa clara,los altos,28336,0,0,10,38,78,231,12,0,48,321,369,0.013022303783173348
1999,los angeles,los angeles,3650138,425,1288,14411,30716,21521,74457,24677,2307,46840,122962,167495,0.04588730617856092
1999,merced,los banos,20404,1,9,12,73,129,343,36,0,95,508,603,0.029553028817878847
1999,santa clara,los gatos,29549,0,0,9,46,169,463,37,9,55,678,724,0.024501675183593353
1999,los angeles,lynwood,64288,12,21,331,649,364,632,589,48,1013,1633,2598,0.04041189646590344
1999,madera,madera,37182,2,17,120,386,423,1090,332,1,525,1846,2370,0.06374051960626109
1999,los angeles,malibu,12740,0,3,9,33,76,177,29,3,45,285,327,0.025667189952904238
1999,los angeles,manhattan beach,34434,0,4,41,37,231,834,89,3,82,1157,1236,0.03589475518382994
1999,san joaquin,manteca,48119,0,11,32,109,289,1231,278,29,152,1827,1950,0.04052453292878073
1999,monterey,marina,17625,0,9,21,16,111,282,38,3,46,434,477,0.027063829787234043
1999,contra costa,martinez,35002,0,10,10,47,180,648,129,2,67,959,1024,0.02925547111593623
1999,yuba,marysville,11964,0,6,17,70,160,471,112,2,93,745,836,0.06987629555332665
1999,los angeles,maywood,28677,0,5,62,66,54,296,104,1,133,455,587,0.02046936569376155
1999,san mateo,menlo park,30524,1,7,32,58,153,582,52,7,98,794,885,0.028993578823221074
1999,merced,merced,60250,5,17,120,298,754,2567,308,51,440,3680,4069,0.06753526970954357
1999,san mateo,millbrae,22173,0,3,13,29,61,231,34,3,45,329,371,0.01673206151625851
1999,marin,mill valley,13139,0,2,6,13,70,230,10,3,21,313,331,0.025192175964685287
1999,santa clara,milpitas,61628,1,23,36,173,328,1515,174,3,233,2020,2250,0.03650937885376777
1999,orange,mission viejo,96838,0,5,26,87,285,850,75,10,118,1220,1328,0.013713624816704186
1999,stanislaus,modesto,184683,5,71,290,626,1851,5936,1269,192,992,9248,10048,0.054406740198069126
1999,los angeles,monrovia,38007,0,6,63,102,189,566,99,9,171,863,1025,0.02696871628910464
1999,san bernardino,montclair,30822,2,9,74,130,248,1097,311,8,215,1664,1871,0.060703393679839075
1999,los angeles,montebello,61417,4,13,111,214,244,1135,523,53,342,1955,2244,0.03653711513098979
1999,monterey,monterey,31562,0,9,42,163,216,958,53,0,214,1227,1441,0.04565616881059502
1999,los angeles,monterey park,63447,4,6,132,61,293,577,326,3,203,1199,1399,0.02204989991646571
1999,ventura,moorpark,30430,1,2,13,37,121,185,40,6,53,352,399,0.01311206046664476
1999,contra costa,moraga,18634,0,0,0,7,38,142,11,1,7,192,198,0.010625737898465172
1999,riverside,moreno valley,146732,6,72,201,669,1527,2047,579,11,948,4164,5101,0.03476405964615762
1999,santa clara,morgan hill,31180,0,9,20,26,131,775,81,8,55,995,1042,0.033418858242463115
1999,san luis obispo,morro bay,10201,0,1,1,60,37,199,18,1,62,255,316,0.0309773551612587
1999,santa clara,mountain view,73250,0,9,49,319,202,1659,132,11,377,2004,2370,0.03235494880546075
1999,riverside,murrieta,24450,0,7,20,51,127,330,86,1,78,544,621,0.02539877300613497
1999,napa,napa,67523,2,13,30,176,307,1329,107,29,221,1772,1964,0.029086385379796513
1999,san diego,national city,55800,5,30,180,340,408,1364,681,12,555,2465,3008,0.053906810035842294
1999,alameda,newark,43766,0,14,44,80,183,1284,173,11,138,1651,1778,0.04062514280491706
1999,orange,newport beach,73477,0,5,31,89,460,1417,137,7,125,2021,2139,0.029111150428025097
1999,riverside,norco,26841,2,1,12,59,194,397,103,1,74,695,768,0.028612942885883536
1999,los angeles,norwalk,98947,10,27,217,465,529,1236,764,27,719,2556,3248,0.032825654138073916
1999,marin,novato,49380,0,10,21,123,252,760,59,13,154,1084,1225,0.024807614418793034
1999,stanislaus,oakdale,15166,1,19,14,117,253,514,49,7,151,823,967,0.06376104444151391
1999,alameda,oakland,371234,60,305,2190,3199,5094,15437,4788,329,5754,25648,31073,0.08370192385395735
1999,san diego,oceanside,154599,7,94,185,656,1060,2733,494,33,942,4320,5229,0.033822987212077694
1999,san bernardino,ontario,149344,9,44,285,668,1172,4204,1330,109,1006,6815,7712,0.05163916863081208
1999,orange,orange,125634,1,14,101,359,517,2156,480,49,475,3202,3628,0.028877533151853797
1999,contra costa,orinda,19622,1,1,6,6,52,185,9,0,14,246,260,0.013250433187238814
1999,butte,oroville,12283,0,0,30,11,235,561,110,0,41,906,947,0.07709842872262476
1999,ventura,oxnard,156887,4,37,357,452,1029,3461,567,14,850,5071,5907,0.03765130316724776
1999,san mateo,pacifica,41273,0,6,9,120,101,369,42,5,135,517,647,0.01567610786712863
1999,monterey,pacific grove,16092,0,0,2,45,89,170,17,0,47,276,323,0.02007208550832712
1999,los angeles,palmdale,101624,6,40,192,716,873,1565,475,39,954,2952,3867,0.038052034952373456
1999,riverside,palm desert,29844,0,10,17,123,667,964,139,1,150,1771,1920,0.06433453960595094
1999,riverside,palm springs,44586,7,29,71,512,724,1404,301,23,619,2452,3048,0.06836226618220967
1999,santa clara,palo alto,59964,0,6,39,49,233,1660,96,11,94,2000,2083,0.034737509172169966
1999,los angeles,palos verdes estates,14056,0,1,1,9,37,75,11,1,11,124,134,0.009533295389869094
1999,butte,paradise,26159,1,8,7,85,214,532,31,5,101,782,878,0.03356397415803356
1999,los angeles,paramount,51880,11,19,142,264,497,1074,518,29,436,2118,2525,0.04867000771010023
1999,fresno,parlier,10410,1,1,18,87,64,227,67,18,107,376,465,0.0446685878962536
1999,los angeles,pasadena,136559,2,30,350,444,795,2913,451,105,826,4264,4985,0.0365043680753374
1999,san luis obispo,paso robles,20959,1,6,10,73,117,450,44,4,90,615,701,0.03344625220668925
1999,stanislaus,patterson,10016,3,0,7,79,42,200,30,2,89,274,361,0.03604233226837061
1999,riverside,perris,33110,2,27,86,216,559,573,240,8,331,1380,1703,0.05143461189972818
1999,sonoma,petaluma,51659,0,12,19,94,207,1161,68,16,125,1452,1561,0.03021738709614975
1999,los angeles,pico rivera,61572,9,14,100,314,246,626,329,22,437,1223,1638,0.02660300136425648
1999,alameda,piedmont,11174,1,0,6,2,45,97,28,1,9,171,179,0.016019330588867012
1999,contra costa,pinole,19622,0,9,68,52,163,744,127,34,129,1068,1163,0.05927020691061054
1999,contra costa,pittsburg,53569,2,13,107,149,357,1313,370,2,271,2042,2311,0.043140622374881
1999,orange,placentia,47844,2,2,23,108,200,493,104,10,135,807,932,0.019479976590586073
1999,contra costa,pleasant hill,33799,0,7,33,65,216,836,92,8,105,1152,1249,0.03695375602828486
1999,alameda,pleasanton,64977,0,6,14,24,155,1295,101,4,44,1555,1595,0.024547147452175386
1999,los angeles,pomona,137646,26,48,381,991,1169,2837,1158,28,1446,5192,6610,0.048021736919343826
1999,tulare,porterville,36124,4,12,25,136,330,977,219,2,177,1528,1703,0.04714317351345366
1999,ventura,port hueneme,20961,0,9,32,29,137,336,35,1,70,509,578,0.027575020275750203
1999,san diego,poway,49829,1,7,16,79,206,534,80,10,103,830,923,0.01852334985650926
1999,san bernardino,rancho cucamonga,121806,7,27,92,142,825,2311,420,34,268,3590,3824,0.031394184194538856
1999,riverside,rancho mirage,11525,1,4,3,24,161,234,16,1,32,412,443,0.038438177874186553
1999,los angeles,rancho palos verdes,43280,1,1,11,45,124,201,50,3,58,378,433,0.010004621072088724
1999,tehama,red bluff,13392,0,8,10,161,153,445,26,10,179,634,803,0.059961170848267624
1999,shasta,redding,79086,3,60,76,230,750,1964,299,48,369,3061,3382,0.0427635738310194
1999,san bernardino,redlands,68295,1,16,52,261,345,1243,432,23,330,2043,2350,0.034409546818947215
1999,los angeles,redondo beach,63999,1,13,70,82,314,1299,259,4,166,1876,2038,0.03184424756636822
1999,san mateo,redwood city,74514,4,12,56,181,258,1740,153,14,253,2165,2404,0.03226239364414741
1999,fresno,reedley,19144,0,3,21,124,159,459,57,13,148,688,823,0.04298997074801504
1999,san bernardino,rialto,85163,5,31,221,331,705,1544,573,23,588,2845,3410,0.04004086281601165
1999,contra costa,richmond,94839,31,47,411,736,1240,3704,950,66,1225,5960,7119,0.07506405592635941
1999,kern,ridgecrest,30470,1,16,12,107,113,357,41,7,136,518,647,0.02123400065638333
1999,stanislaus,riverbank,14620,0,6,6,41,125,337,50,4,53,516,565,0.03864569083447333
1999,riverside,riverside,265980,30,77,628,1329,2250,5733,1618,219,2064,9820,11665,0.04385668095345515
1999,placer,rocklin,31334,0,5,5,24,149,412,54,0,34,615,649,0.020712325269675112
1999,sonoma,rohnert park,41596,1,15,21,53,396,1044,80,11,90,1531,1610,0.03870564477353592
1999,los angeles,rosemead,53965,8,6,135,226,347,496,293,7,375,1143,1511,0.027999629389419068
1999,placer,roseville,72658,0,6,44,209,513,1601,323,12,259,2449,2696,0.0371053428390542
1999,sacramento,sacramento,410089,54,143,1450,1437,4805,14761,4460,430,3084,24456,27110,0.06610760103294651
1999,monterey,salinas,123237,12,60,346,737,729,3764,650,31,1155,5174,6298,0.051104781843115295
1999,marin,san anselmo,11694,0,2,1,33,87,186,10,1,36,284,319,0.027278946468274327
1999,san bernardino,san bernardino,189133,23,81,709,1207,2570,5524,1795,115,2020,10004,11909,0.06296627241147763
1999,san mateo,san bruno,41306,1,6,27,28,131,714,111,6,62,962,1018,0.024645329976274635
1999,san mateo,san carlos,28501,0,2,8,52,149,338,33,0,62,520,582,0.02042033612855689
1999,orange,san clemente,47176,0,7,17,52,179,510,57,6,76,752,822,0.01742411395624894
1999,san diego,san diego,1238549,57,355,1812,5187,6568,26117,9491,230,7411,42406,49587,0.04003636513371695
1999,los angeles,san dimas,34722,0,4,24,101,162,385,57,10,129,614,733,0.021110535107424687
1999,los angeles,san fernando,23386,1,3,69,47,103,431,153,8,120,695,807,0.034507825194560846
1999,san francisco,san francisco,756700,64,193,3475,2823,5526,25264,5977,275,6555,37042,43322,0.05725122241310956
1999,los angeles,san gabriel,38520,1,4,81,116,185,416,119,13,202,733,922,0.023935617860851507
1999,fresno,sanger,18401,0,7,20,117,97,417,104,7,144,625,762,0.04141079289169067
1999,riverside,san jacinto,24686,1,6,14,98,212,76,81,3,119,372,488,0.019768289718868993
1999,santa clara,san jose,875840,25,347,726,3990,2685,15151,2860,349,5088,21045,25784,0.029439166971136282
1999,orange,san juan capistrano,31452,4,5,18,49,86,357,50,4,76,497,569,0.018091059392089534
1999,alameda,san leandro,75477,3,17,201,290,502,2649,632,19,511,3802,4294,0.05689150337188813
1999,san luis obispo,san luis obispo,43557,2,16,17,80,376,1322,115,97,115,1910,1928,0.04426383818903965
1999,san diego,san marcos,50310,0,12,46,131,386,797,217,9,189,1409,1589,0.031584178095806
1999,los angeles,san marino,13156,0,1,7,0,41,57,7,0,8,105,113,0.008589236850106416
1999,san mateo,san mateo,92619,0,19,73,186,284,1799,220,21,278,2324,2581,0.02786685237370302
1999,contra costa,san pablo,27347,2,6,154,164,388,1110,377,14,326,1889,2201,0.08048414816981753
1999,marin,san rafael,51805,0,10,48,275,293,1003,138,8,333,1442,1767,0.034108676768651675
1999,contra costa,san ramon,43071,1,4,9,45,152,611,65,6,59,834,887,0.02059390309024634
1999,orange,santa ana,310437,15,97,865,851,1226,5826,2287,247,1828,9586,11167,0.035971871909598406
1999,santa barbara,santa barbara,87914,2,24,74,423,473,1775,148,8,523,2404,2919,0.0332029028368633
1999,santa clara,santa clara,101840,2,8,44,208,372,2145,289,36,262,2842,3068,0.030125687352710134
1999,los angeles,santa clarita,128862,2,19,79,388,508,1435,242,43,488,2228,2673,0.02074312054756251
1999,santa cruz,santa cruz,53627,1,19,79,283,358,1734,140,33,382,2265,2614,0.04874410278404535
1999,los angeles,santa fe springs,15720,3,3,74,66,225,772,220,7,146,1224,1363,0.08670483460559797
1999,santa barbara,santa maria,69119,1,24,74,217,386,1656,180,35,316,2257,2538,0.03671928123960127
1999,los angeles,santa monica,90834,1,29,279,319,560,3120,575,74,628,4329,4883,0.05375740361538631
1999,ventura,santa paula,27117,1,9,42,111,295,330,76,10,163,711,864,0.031861931629605045
1999,sonoma,santa rosa,128750,5,73,152,292,720,3840,328,31,522,4919,5410,0.042019417475728155
1999,san diego,santee,58586,1,12,22,119,259,759,172,6,154,1196,1344,0.022940634281227598
1999,santa clara,saratoga,30321,0,3,2,12,84,247,21,3,17,355,369,0.012169783318492134
1999,santa cruz,scotts valley,10223,0,1,2,25,69,227,8,6,28,310,332,0.032475789885552185
1999,orange,seal beach,26545,0,5,20,56,145,318,40,5,81,508,584,0.02200037671877943
1999,monterey,seaside,28672,4,8,48,163,163,544,87,9,223,803,1017,0.03547014508928571
1999,fresno,selma,17658,0,6,34,112,259,811,202,9,152,1281,1424,0.08064333446596443
1999,kern,shafter,11317,1,3,3,51,129,247,33,40,58,449,467,0.0412653530087479
1999,los angeles,sierra madre,11121,0,0,1,6,45,76,5,0,7,126,133,0.011959356173006025
