City,Population
San Carlos,"30,185"
Saratoga,"30,153"
Los Altos,"30,089"
Atascadero,"30,075"
Santa Paula,"29,806"
Walnut,"29,685"
Suisun City,"29,663"
Atwater,"29,559"
East Palo Alto,"29,314"
Ridgecrest,"28,973"
Desert Hot Springs,"28,878"
Wasco,"28,710"
Vineyard,"28,315"
Benicia,"28,240"
Monterey,"28,178"
Isla Vista,"27,690"
Imperial Beach,"27,440"
West Whittier-Los Nietos,"27,144"
Windsor,"27,128"
Maywood,"26,973"
Belmont,"26,941"
Lemon Grove,"26,811"
Lemoore,"26,725"
Eureka,"26,710"
Temescal Valley,"26,709"
Lafayette,"26,638"
Norco,"26,604"
Galt,"26,536"
Hercules,"26,276"
Brawley,"26,227"
Twentynine Palms,"26,073"
Soledad,"25,999"
Reedley,"25,658"
El Cerrito city,"25,508"
San Lorenzo,"25,388"
Sanger,"25,339"
South Pasadena,"25,329"
Valinda,"25,296"
Bay Point,"25,165"
Riverbank,"24,881"
Selma,"24,825"
North Tustin,"24,736"
Lathrop,"24,483"
Loma Linda,"24,482"
Dinuba,"24,461"
San Fernando,"24,322"
Barstow,"23,915"
Seal Beach,"23,896"
Calabasas,"23,853"
Coronado,"23,731"
Ashland,"23,635"
West Puente Valley,"23,629"
Rosemont,"23,617"
Oakdale,"23,596"
Cudahy,"23,569"
Winter Gardens,"23,088"
West Rancho Dominguez,"22,932"
Laguna Beach,"22,827"
Marina,"22,781"
Lakeside,"22,560"
West Carson,"22,537"
Patterson,"22,524"
Granite Bay,"22,439"
Willowbrook,"22,402"
Millbrae,"22,394"
South Lake Tahoe,"22,197"
Corcoran,"21,960"
Port Hueneme,"21,926"
Arvin,"21,851"
Bloomington,"21,783"
Yucca Valley,"21,777"
Lennox,"21,329"
Rancho San Diego,"21,289"
Duarte,"21,271"
Oroville,"20,737"
Dixon,"20,698"
East Hemet,"20,679"
South San Jose Hills,"20,593"
South El Monte,"20,574"
American Canyon,"20,475"
Shafter,"20,401"
Lomita,"20,320"
Ramona,"20,260"
Agoura Hills,"20,222"
Rosamond,"20,028"
La Cañada Flintridge,"20,009"
Orinda,"19,926"
Mead Valley,"19,925"
Cameron Park,"19,902"
Albany,"19,696"
Blythe,"19,682"
Casa de Oro-Mount Helix,"19,635"
Prunedale,"19,584"
La Crescenta-Montrose,"19,500"
Stevenson Ranch,"19,364"
Hermosa Beach,"19,320"
Linda,"19,314"
Pinole,"19,250"
Castaic,"18,921"
Rancho Mirage,"18,528"
Arcata,"18,431"
Chowchilla,"18,310"
Imperial,"18,120"
Arroyo Grande,"17,976"
Moraga,"17,783"
Santa Fe Springs,"17,630"
Bostonia,"17,530"
Greenfield city,"17,516"
Nipomo,"17,445"
Live Oak,"17,390"
Woodcrest,"17,310"
Coalinga,"17,179"
Vincent,"17,008"
Valle Vista,"16,879"
Rosedale,"16,737"
