City,Population
Ballard and Bodega,473
San Lucas,472
San Geronimo,466
Bridgeport,464
Carnelian Bay,463
Bend,457
Point Arena,449
Boulevard,445
Victor,444
Clarksburg,442
Yettem and French Gulch,441
Lindcove,438
Potter Valley,437
Hiouchi,433
Mad River,432
Wilkerson,431
Keswick,430
Yolo,429
Nord,426
Oak Glen,420
Lake Almanor Peninsula,416
Bombay Beach,415
Terminous,411
Ripley,408
Rio Oso,406
Meridian,405
Ballico,401
Sand City,399
Raisin City,389
Bloomfield,387
McArthur,386
Spreckels,385
Monson and Derby Acres,380
Tehama,373
Bangor and Manton,372
Centerville,366
Diablo,364
Mexican Colony,363
Meadow Valley,362
Cedarville,360
Grimes,358
Cressey,356
Salton Sea Beach and Trinidad,355
Garden Farms,345
Newell,342
Burnt Ranch,338
Plumas Eureka,333
Stevinson,331
Sierra Village,330
Fiddletown,329
North San Juan and El Nido,328
Fields Landing,325
Robbins,321
Clipper Mills and Nipinnawasee,319
Mesa,317
Anchor Bay,314
Benton and Keene,313
Tooleville,309
Groveland and Stirling City,307
Hood,303
Albion and Lake Almanor Country Club,302
Yankee Hill,301
Martell,300
Sierra Brooks,299
Princeton,297
Trowbridge and Orick,296
Acampo and Las Flores CDP,294
Artois and Mineral,292
Monterey Park Tract,291
Point Reyes Station,290
Cazadero,288
Crescent Mills,287
Elmira,285
Samoa,284
Greenview and Rail Road Flat,283
Oak Shores,282
Trinity Village,279
Crows Landing and Mesa Vista,278
Cantua Creek and Fall River Mills,273
Richfield,272
Weott,271
El Portal,268
Lemon Cove,267
Desert Center and Davenport,264
Pajaro Dunes,255
Greenhorn and East Nicolaus,254
Tomales and Cromberg,253
Taylorsville,244
Dos Palos Y and Muir Beach,242
La Vina and College City,239
Topaz and Lanare,234
Pescadero and Clear Creek,226
Forbestown,221
Dillon Beach,219
Swall Meadows,218
Volta and Calpine,216
Waukena and Hornbrook,215
Beckwourth,214
Olancha,213
"Three Rocks, Vina, and Winterhaven",210
Chinese Camp,206
Dorrington,205
Bear Valley,203
"Industry, Valley Home, and Jacumba",202
Adin and Philo,201
Manchester,199
Dutch Flat and Wawona,196
Bowles,194
Elk Creek and Cherokee Strip,191
Amador City,190
Little River and Rackerby,189
Oakville and Big Creek,188
Verdi,187
"Tupman, Paradise, Port Costa, Edna, and Coffee Creek",186
Vallecito,183
Westside,182
Milford and Fort Bidwell,181
Bieber and Litchfield,178
Cassel,176
Guinda,175
Flournoy,171
East Shore,169
Pike,167
Nicolaus,166
Hyampom and Proberta,165
Whitley Gardens and Hat Creek,164
Smartsville,163
Camptonville,162
"Trinity Center, Benbow, and Bluewater",161
Garey,160
Bear Creek and Alderpoint,157
Alpine Village,155
Sierra City,152
Moskowite Corner,151
Pine Flat and Timber Cove,149
Sisquoc and Valley Ford,148
Chilcoot-Vinton,147
Tecopa,146
Ruth and Fairhaven,145
Markleeville,143
Cherokee,139
Mettler and Johannesburg,138
Stonyford,136
Honcut and Daphnedale Park,135
Furnace Creek and McKittrick,127
Lodoga and Lake Almanor West,126
Big Lagoon,118
Franklin,117
Loma Mar and Downieville,114
Round Mountain,112
Casmalia,111
Spaulding and Vernon,110
Cold Springs CDP,108
Bradley,107
Nicasio,106
Macdoel and Paskenta,105
Monmouth and Sierraville,103
Snelling,101
Richvale,99
Mono City,98
C-Road,97
Big Bend,96
Long Barn,93
Fish Camp,90
Lee Vining and Farmington,89
Rodriguez Camp,87
Palo Verde,85
Comptche,83
Sereno del Mar,82
Freeport and Eagleville,81
Sunny Slopes,80
Mount Hebron,78
Sattley,77
Lookout and Kirkwood,76
Mabie,74
Kingvale,73
Rutherford and Phillipsville,72
New Pine Creek,71
Aspen Springs,67
Canyondam and Whitehawk,66
"El Rancho, Clio, and Lake Davis",65
Randsburg,64
Tuttle and Mohawk Vista,63
Leggett,62
"Hornitos, Montgomery Creek, and Moss Landing",61
Iron Horse,60
Lake City,59
Bear Valley CDP and Ocotillo,58
Darwin,56
Indian Falls,54
"Washington, Paynes Creek, and Butte Meadows",53
Buck Meadows,51
Fellows,49
Carrick,47
Gazelle,46
Volcano,44
Panorama Heights,42
Keddie and McClenney Tract,41
Edgewood,40
Coulterville,38
Trona,37
California Hot Springs,36
"Robinson Mill, Old Station, and Homewood Canyon",35
Twain,33
Jenner,32
"Hardwick, Alleghany, and Creston",30
Pearsonville and Goodyears Bar,29
Prattville and Sequoia Crest,28
Blairsden,25
Redcrest,23
Soda Springs,21
"Kennedy Meadows, Nubieber, Drytown, Floriston, and Salmon Creek",20
Little Valley and Tennant,18
Keeler and Bucks Lake,15
Spring Garden and Shoshone,13
Sugarloaf Village and Valley Ranch,10
Cuyama,9
Cartago,7
Strawberry CDP,5
Poso Park,2
